agrupacion_nombre,COMUNA 1,COMUNA 10,COMUNA 11,COMUNA 12,COMUNA 13,COMUNA 14,COMUNA 15,COMUNA 2,COMUNA 3,COMUNA 4,COMUNA 5,COMUNA 6,COMUNA 7,COMUNA 8,COMUNA 9
ALIANZA LA LIBERTAD AVANZA,101810,92933,117076,130625,170558,156434,93853,110221,85041,93850,84132,105647,106770,73475,89613
FUERZA PATRIA,59849,61507,67095,72115,56248,53756,72543,28825,61533,82987,65446,61518,71157,70499,66061
